file,group,time,channel,n_cells,mean_cell_intensity,median_cell_intensity,mean_nonzero_pixels,fold_change
CNTL_75uM_p1,Control,3,Lyso,666,16.477609634399414,15.74699592590332,565.2027027027027,1.1778344675375456
CNTL_75uM_p1,Control,3,Tubulin,666,30.48601722717285,29.335302352905273,1064.054054054054,1.3599766216238407
CNTL_75uM_p1,Control,4,LipiBlue,576,13.59982967376709,11.242881774902344,1005.5625,0.8266852798251981
CNTL_75uM_p1,Control,4,342,576,84.89289093017578,62.74125671386719,1637.21875,0.7533465689907287
CNTL_75uM_p1,Control,4,BODIPY,576,38.680912017822266,39.88556671142578,1529.15625,1.4002691176330464
CNTL_75uM_p1,Control,4,pHrodo,576,25.87677764892578,22.537277221679688,1248.546875,1.3781184170081604
CNTL_75uM_p1,Control,4,TMRM,576,26.6708984375,25.343202590942383,1333.578125,1.1371941884428733
CNTL_75uM_p1,Control,4,Lyso,576,14.67813491821289,14.084097862243652,1165.421875,1.0492063842649515
CNTL_75uM_p1,Control,4,Tubulin,576,27.858299255371094,26.279441833496094,2200.3125,1.2427545199881458
CNTL_75uM_p1,Control,5,LipiBlue,396,14.665342330932617,11.84805679321289,1409.409090909091,0.8914540048957221
CNTL_75uM_p1,Control,5,342,396,96.43404388427734,82.52979278564453,2236.431818181818,0.8557637194129099
CNTL_75uM_p1,Control,5,BODIPY,396,54.83511734008789,46.20618438720703,2282.931818181818,1.9850597456888082
CNTL_75uM_p1,Control,5,pHrodo,396,27.34600830078125,23.49750518798828,1799.5,1.4563651696612667
CNTL_75uM_p1,Control,5,TMRM,396,29.364824295043945,28.024925231933594,2028.090909090909,1.2520578416667771
CNTL_75uM_p1,Control,5,Lyso,396,16.670787811279297,15.674951553344727,1646.7727272727273,1.1916430186656284
CNTL_75uM_p1,Control,5,Tubulin,396,29.011228561401367,26.392637252807617,3157.2954545454545,1.2941865221057793
CNTL_75uM_p1,Control,6,LipiBlue,243,15.888107299804688,13.363259315490723,1529.5185185185185,0.9657815387472883
CNTL_75uM_p1,Control,6,342,243,133.50367736816406,95.8084945678711,2427.3703703703704,1.184722727556468
CNTL_75uM_p1,Control,6,BODIPY,243,36.35724639892578,34.999149322509766,2140.296296296296,1.3161512146128886
CNTL_75uM_p1,Control,6,pHrodo,243,21.31937599182129,22.218379974365234,1879.2222222222222,1.1354050760130177
CNTL_75uM_p1,Control,6,TMRM,243,28.29083824157715,28.20099639892578,2103.5925925925926,1.2062652073716416
CNTL_75uM_p1,Control,6,Lyso,243,15.157183647155762,15.176268577575684,1689.3703703703704,1.083449221490627
CNTL_75uM_p1,Control,6,Tubulin,243,30.64299964904785,32.137298583984375,3248.259259259259,1.3669795837413588
